"Attrition","Age","MonthlyIncome","PercentSalaryHike","PerformanceRating","JobLevel","TotalWorkingYears","Education","EnvironmentSatisfaction","TrainingTimesLastYear","RelationshipSatisfaction","JobSatisfaction","DistanceFromHome","WorkLifeBalance","JobInvolvement","StockOptionLevel","NumCompaniesWorked","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Gender","OverTime","EducationField","BusinessTravel","Department","MaritalStatus","JobRole","HourlyRate","DailyRate","MonthlyRate"
1,41,5993,11,3,2,8,2,2,0,1,4,1,1,3,0,8,6,4,0,5,"0","1","Life Sciences","Travel_Rarely","Sales","Single","Sales Executive",94,1102,19479
0,49,5130,23,4,2,10,1,3,3,4,2,8,3,2,1,1,10,7,1,7,"1","0","Life Sciences","Travel_Frequently","Research & Development","Married","Research Scientist",61,279,24907
1,37,2090,15,3,1,7,2,4,3,2,3,2,3,2,0,6,0,0,0,0,"1","1","Other","Travel_Rarely","Research & Development","Single","Laboratory Technician",92,1373,2396
0,33,2909,11,3,1,8,4,4,3,3,3,3,3,3,0,1,8,7,3,0,"0","1","Life Sciences","Travel_Frequently","Research & Development","Married","Research Scientist",56,1392,23159
0,27,3468,12,3,1,6,1,1,3,4,2,2,3,3,1,9,2,2,2,2,"1","0","Medical","Travel_Rarely","Research & Development","Married","Laboratory Technician",40,591,16632
0,32,3068,13,3,1,8,2,4,2,3,4,2,2,3,0,0,7,7,3,6,"1","0","Life Sciences","Travel_Frequently","Research & Development","Single","Laboratory Technician",79,1005,11864
0,59,2670,20,4,1,12,3,3,3,1,1,3,2,4,3,4,1,0,0,0,"0","1","Medical","Travel_Rarely","Research & Development","Married","Laboratory Technician",81,1324,9964
0,30,2693,22,4,1,1,1,4,2,2,3,24,3,3,1,1,1,0,0,0,"1","0","Life Sciences","Travel_Rarely","Research & Development","Divorced","Laboratory Technician",67,1358,13335
0,38,9526,21,4,3,10,3,4,2,2,3,23,3,2,0,0,9,7,1,8,"1","0","Life Sciences","Travel_Frequently","Research & Development","Single","Manufacturing Director",44,216,8787
0,36,5237,13,3,2,17,3,3,3,2,3,27,2,3,2,6,7,7,7,7,"1","0","Medical","Travel_Rarely","Research & Development","Married","Healthcare Representative",94,1299,16577
0,35,2426,13,3,1,6,3,1,5,3,2,16,3,4,1,0,5,4,0,3,"1","0","Medical","Travel_Rarely","Research & Development","Married","Laboratory Technician",84,809,16479
0,29,4193,12,3,2,10,2,4,3,4,3,15,3,2,0,0,9,5,0,8,"0","1","Life Sciences","Travel_Rarely","Research & Development","Single","Laboratory Technician",49,153,12682
0,31,2911,17,3,1,5,1,1,1,4,3,26,2,3,1,1,5,2,4,3,"1","0","Life Sciences","Travel_Rarely","Research & Development","Divorced","Research Scientist",31,670,15170
0,34,2661,11,3,1,3,2,2,2,3,4,19,3,3,1,0,2,2,1,2,"1","0","Medical","Travel_Rarely","Research & Development","Divorced","Laboratory Technician",93,1346,8758
1,28,2028,14,3,1,6,3,3,4,2,3,24,3,2,0,5,4,2,0,3,"1","1","Life Sciences","Travel_Rarely","Research & Development","Single","Laboratory Technician",50,103,12947
0,29,9980,11,3,3,10,4,2,1,3,1,21,3,4,1,1,10,9,8,8,"0","0","Life Sciences","Travel_Rarely","Research & Development","Divorced","Manufacturing Director",51,1389,10195
0,32,3298,12,3,1,7,2,1,5,4,2,5,2,4,2,0,6,2,0,5,"1","1","Life Sciences","Travel_Rarely","Research & Development","Divorced","Research Scientist",80,334,15053
0,22,2935,13,3,1,1,2,4,2,2,4,16,2,4,2,1,1,0,0,0,"1","1","Medical","Non-Travel","Research & Development","Divorced","Laboratory Technician",96,1123,7324
0,53,15427,16,3,4,31,4,1,3,3,4,2,3,2,0,2,25,8,3,7,"0","0","Life Sciences","Travel_Rarely","Sales","Married","Manager",78,1219,22021
0,38,3944,11,3,1,6,3,4,3,3,4,2,3,3,0,5,3,2,1,2,"1","1","Life Sciences","Travel_Rarely","Research & Development","Single","Research Scientist",45,371,4306
0,24,4011,18,3,2,5,2,1,5,4,3,11,2,4,1,0,4,2,1,3,"0","0","Other","Non-Travel","Research & Development","Divorced","Manufacturing Director",96,673,8232
1,36,3407,23,4,1,10,4,3,4,2,1,9,3,2,0,7,5,3,0,3,"1","0","Life Sciences","Travel_Rarely","Sales","Single","Sales Representative",82,1218,6986
0,34,11994,11,3,3,13,4,1,4,3,2,7,3,3,0,0,12,6,2,11,"0","0","Life Sciences","Travel_Rarely","Research & Development","Single","Research Director",53,419,21293
0,21,1232,14,3,1,0,2,3,6,4,4,15,3,3,0,1,0,0,0,0,"1","0","Life Sciences","Travel_Rarely","Research & Development","Single","Research Scientist",96,391,19281
1,34,2960,11,3,1,8,1,2,2,3,1,6,3,3,0,2,4,2,1,3,"1","0","Medical","Travel_Rarely","Research & Development","Single","Research Scientist",83,699,17102
0,53,19094,11,3,5,26,3,3,3,4,3,5,2,3,1,4,14,13,4,8,"0","0","Other","Travel_Rarely","Research & Development","Divorced","Manager",58,1282,10735
1,32,3919,22,4,1,10,1,2,5,2,1,16,3,1,0,1,10,2,6,7,"0","1","Life Sciences","Travel_Frequently","Research & Development","Single","Research Scientist",72,1125,4681
0,42,6825,11,3,2,10,4,3,2,4,2,8,3,3,1,0,9,7,4,2,"1","0","Marketing","Travel_Rarely","Sales","Married","Sales Executive",48,691,21173
0,44,10248,14,3,3,24,4,1,4,4,4,7,3,2,1,3,22,6,5,17,"0","0","Medical","Travel_Rarely","Research & Development","Married","Healthcare Representative",42,477,2094
0,46,18947,12,3,5,22,4,2,2,4,1,2,2,3,0,3,2,2,2,1,"0","0","Marketing","Travel_Rarely","Sales","Single","Manager",83,705,22822
0,33,2496,11,3,1,7,3,3,3,4,4,2,3,3,0,4,1,1,0,0,"1","0","Medical","Travel_Rarely","Research & Development","Single","Laboratory Technician",78,924,6670
0,44,6465,13,3,2,9,4,4,5,4,4,10,4,3,0,2,4,2,1,3,"1","1","Other","Travel_Rarely","Research & Development","Married","Healthcare Representative",41,1459,19121
0,30,2206,13,3,1,10,2,4,5,1,3,9,3,2,0,1,10,0,1,8,"1","0","Medical","Travel_Rarely","Research & Development","Single","Laboratory Technician",83,125,16117
1,39,2086,14,3,2,19,3,4,6,3,4,5,4,3,1,3,1,0,0,0,"1","0","Technical Degree","Travel_Rarely","Sales","Married","Sales Representative",56,895,3335
1,24,2293,16,3,1,6,3,2,2,1,4,1,2,3,1,2,2,0,2,0,"1","1","Medical","Travel_Rarely","Research & Development","Married","Research Scientist",61,813,3020
0,43,2645,12,3,1,6,2,4,3,4,3,2,2,4,2,1,5,3,1,4,"0","0","Medical","Travel_Rarely","Research & Development","Divorced","Research Scientist",72,1273,21923
1,50,2683,14,3,1,3,2,1,2,3,3,3,3,2,0,1,3,2,0,2,"1","1","Marketing","Travel_Rarely","Sales","Married","Sales Representative",86,869,3810
0,35,2014,13,3,1,2,3,4,3,1,4,2,3,3,0,1,2,2,2,2,"0","0","Marketing","Travel_Rarely","Sales","Married","Sales Representative",97,890,9687
0,36,3419,14,3,1,6,4,2,3,4,1,5,4,2,1,9,1,1,0,0,"0","1","Life Sciences","Travel_Rarely","Research & Development","Married","Research Scientist",82,852,13072
0,33,5376,19,3,2,10,3,3,3,1,1,1,3,4,2,2,5,3,1,3,"0","0","Life Sciences","Travel_Frequently","Sales","Married","Sales Executive",42,1141,3193
0,35,1951,12,3,1,1,2,3,3,3,4,4,3,3,1,1,1,0,0,0,"1","0","Other","Travel_Rarely","Research & Development","Divorced","Laboratory Technician",75,464,10910
0,27,2341,13,3,1,1,4,4,6,4,1,2,3,3,1,1,1,0,0,0,"0","0","Life Sciences","Travel_Rarely","Research & Development","Divorced","Laboratory Technician",33,1240,19715
1,26,2293,12,3,1,1,3,1,2,3,3,25,2,1,0,1,1,0,0,1,"1","0","Life Sciences","Travel_Rarely","Research & Development","Single","Laboratory Technician",48,1357,10558
0,27,8726,15,3,3,9,3,4,0,4,3,8,3,3,0,1,9,8,1,7,"1","0","Life Sciences","Travel_Frequently","Sales","Single","Sales Executive",37,994,2975
0,30,4011,23,4,2,12,2,3,2,4,4,1,3,3,0,1,12,8,3,7,"0","0","Medical","Travel_Frequently","Research & Development","Single","Laboratory Technician",58,721,10781
1,41,19545,12,3,5,23,3,2,0,4,3,12,3,3,0,1,22,15,15,8,"0","0","Technical Degree","Travel_Rarely","Research & Development","Married","Research Director",49,1360,16280
0,34,4568,20,4,2,10,4,2,2,3,3,23,3,3,0,0,9,5,8,7,"1","0","Marketing","Non-Travel","Sales","Single","Sales Executive",72,1065,10034
0,37,3022,21,4,1,8,2,2,1,1,2,19,3,3,0,4,1,0,0,0,"1","0","Life Sciences","Travel_Rarely","Research & Development","Married","Research Scientist",73,408,10227
0,46,5772,21,4,2,14,4,1,4,3,4,5,3,3,0,4,9,6,0,8,"1","1","Marketing","Travel_Frequently","Sales","Single","Sales Executive",98,1211,20445
0,35,2269,19,3,1,1,1,4,2,4,4,8,3,4,0,1,1,0,0,1,"1","0","Life Sciences","Travel_Rarely","Research & Development","Married","Laboratory Technician",36,1229,4892
